level,question,option1,option2,option3,option4,correctoption,feedback1,feedback2,feedback3,feedback4
Iniciante,Qual é o descarte mais adequado e ecológico para um celular antigo que quebrou e não tem mais conserto?,Descarta-lo na lixeira comum,Levá-lo a um ponto de coleta específico de lixo eletrônico,Guardar no ármario pra sempre,Jogar fora junto com lixo orgânico,2,"Não, descartar em qualquer lixeira pode contaminar o ambiente","Isso mesmo, pontos de coleta de e-lixo garantem o descarte adequado","Não, acumular lixo eletrônico não é o caminho ideal","Não, pois o e-lixo pode conter resíduos tóxicos que não devem acompanhar o lixo orgânico"
Iniciante,Por que o descarte incorreto de lixo eletrônico na natureza é extremamente perigoso?,Porque os aparelhos contêm metais pesados (como chumbo e mercúrio) que contaminam o solo e a água.,"Porque os fios dos aparelhos atraem pragas urbanas, como ratos e baratas.",Porque eles emitem radiação perigosa que afeta a vizinhança. ,Porque eles ocupam muito espaço e deixam as ruas feias.,1,"Correto, essas substâncias tóxicas podem poluir lençóis freáticos, prejudicando plantas, animais e a saúde humana se chegarem à água que bebemos.","Pragas urbanas são atraídas por restos de comida e matéria orgânica, não por componentes eletrônicos.",Aparelhos eletrônicos comuns não emitem radiação em níveis perigosos. O perigo real está na contaminação química dos seus componentes.,"Embora causem poluição visual e ocupem espaço, o perigo principal e mais grave é a contaminação química e ambiental."
Iniciante,"O seu computador antigo ainda funciona muito bem, mas você comprou um novo. 
Qual é a melhor atitude sustentável antes de pensar em reciclagem?",Parar de usar o computador imediatamente e jogar ele fora.,"Vender, doar para alguém que precise ou repassar para uma instituição de caridade.",Jogar na caçamba de entulho do vizinho que está fazendo obra.,Queimar o computador para garantir que seus dados pessoais sejam apagados.,2,"Se ele ainda funciona, jogar o computador fora apenas irá gerar lixo desnecessário e vai desperdiçar as peças do equipamento.",A reutilização é sempre o melhor caminho. Aumentar a vida útil de um eletrônico que ainda funciona evita a extração de novos recursos da natureza.,"Entulho de obra vai para aterros específicos de construção civil, e o eletrônico ficará perdido lá, poluindo o local.",Queimar eletrônicos libera fumaça altamente tóxica e não garante que os dados foram destruídos.
Iniciante,"Além de proteger o meio ambiente, qual é o outro grande benefício de reciclar o lixo eletrônico?",Transformar placas de computador em adubo para plantas.,"Recuperar materiais valiosos, como ouro, prata, cobre e alumínio, que estão dentro dos aparelhos.",Fazer os aparelhos velhos voltarem a ser rápidos e modernos.,Gerar energia elétrica a partir de baterias velhas.,2,"Componentes eletrônicos não são orgânicos e não podem ser usados como adubo, pois matariam as plantas.","Chamada de ""mineração urbana"", a reciclagem extrai esses metais preciosos das placas velhas para fazer novos produtos, evitando que mais minérios sejam escavados da natureza.",A reciclagem destrói o aparelho para usar a matéria-prima; ela não conserta eletrônicos defasados.,Baterias velhas perdem sua capacidade de reter energia e precisam ser trituradas e separadas quimicamente.
Iniciante,O que é considerado lixo eletrônico? ,Restos de comida,"Equipamentos eletrônicos 
descartados",Papel usado,Garrafas de vidro,2,"Restos de comida são classificados como lixo orgânico, não eletrônico. Lixo eletrônico envolve aparelhos que utilizam componentes elétricos ou digitais. ","O lixo eletrônico inclui celulares, computadores, televisores, cabos, baterias e outros aparelhos. ","Papel usado é considerado lixo reciclável comum, mas não faz parte do lixo eletrônico",Garrafas de vidro são recicláveis porém não possuem componentes eletrônicos
Iniciante,Onde o lixo eletrônico deve ser descartado? ,No lixo comum,Em rios e terrenos vazios,Em pontos de coleta especializados,No lixo reciclável padrão,3,O lixo eletrônico contém materiais tóxicos que podem contaminar o solo e a água quando descartados no lixo comum.,O descarte irregular causa poluição ambiental e pode prejudicar ecossistemas e a saúde humana.,O lixo eletrônico contém substâncias tóxicas e deve ser levado a ecopontos ou locais especializados ,Lixo eletrônico precisa de tratamento específico e não deve ser misturado com recicláveis comuns.
Iniciante,Por que é importante reciclar o lixo eletrônico?,Para ocupar mais espaço nos aterros,Para evitar poluição e reaproveitar materiais ,Para aumentar o lixo nas cidades,Porque eletrônicos não podem ser reutilizados,2,A reciclagem busca justamente reduzir a quantidade de resíduos enviados para aterros.,A reciclagem reduz impactos ambientais e permite recuperar materiais valiosos presentes nos eletrônicos.,O objetivo da reciclagem é diminuir a poluição e a quantidade de resíduos descartados.,"Muitos eletrônicos podem ser consertados, reutilizados ou reaproveitados antes do descarte final."
Iniciante,Qual destes objetos pode ser considerado lixo eletrônico?,Controle remoto quebrado,Casca de ovo,Garrafa de vidro,Jornal velho,1,"Controles remotos possuem circuitos eletrônicos e pilhas, sendo classificados como lixo eletrônico.",Casca de ovo é lixo orgânico e pode até ser usada em compostagem.,"Vidro é reciclável, mas não faz parte dos resíduos eletrônicos.","Jornais são recicláveis de papel, não lixo eletrônico."
Iniciante,O que deve ser feito antes de descartar um celular antigo?,Jogá-lo no lixo comum,Quebrá-lo em pedaços,Apagar os dados pessoais,Molhá-lo na água,3,Celulares devem ser descartados em pontos especializados.,Quebrar o aparelho pode liberar substâncias perigosas. Como o mercúrio da bateria,"Antes do descarte, é importante proteger suas informações pessoais removendo os dados do aparelho.",Água pode causar vazamento de componentes tóxicos do aparelho.
Iniciante,Qual é a melhor forma de reduzir a produção de lixo eletrônico?,Comprar aparelhos novos frequentemente,Utilizar os aparelhos pelo maior tempo possível,Jogar aparelhos antigos no lixo reciclável comum,Trocar dispositivos sempre que surgir uma nova versão,2,A troca constante aumenta significativamente a produção de lixo eletrônico.,Aumentar a vida útil dos dispositivos reduz o descarte desnecessário.,Lixo eletrônico precisa de descarte especializado.,O consumo excessivo contribui para o aumento da poluição eletrônica.
